,Nhu cầu,Tổng tiền,Diện tích,Địa chỉ,Phòng ngủ,Phòng vệ sinh,Nội thất,Pháp lý sở hữu,View,Tầng,Hot,Mã căn
0,Thuê,8000000,67.2,thủ đức,2,2,Full,HDMB,Đông Bắc,8.0,False,C1.08.06-4s linh đông
1,Bán,2620000000,74.0,bình dương,2,2,Ko,None,Đông Bắc,0.0,False,OPBB0203033-opal boulevard
2,Thuê,10000000,75.0,bình dương,2,2,Ko,None,Đông Bắc,None,False,OPBA02032006-opal boulevard
3,Thuê,8000000,73.0,bình dương,2,2,Ko,None,Đông Bắc,None,False,OPBA02028005-opal boulevard
4,Thuê,10000000,73.0,bình dương,2,2,Ko,None,Đông Bắc,None,False,OPBA02033005-opal boulevard
5,Thuê,8000000,73.0,bình dương,2,2,Ko,None,Đông Bắc,None,False,OPBA02021005-opal boulevard
6,Thuê,12000000,99.0,bình dương,3,2,Ko,None,Đông Bắc,None,False,OPBA02017003-opal boulevard
7,Thuê,10000000,73.43,quận 8,2,2,Có,HDMB,Tây,20.0,False,B20-16-diamond riverside
8,Thuê,9000000,86.22,quận 8,None,None,None,HDMB,Bắc,13.0,False,C12A-21-diamond riverside
9,Thuê,10000000,73.29,quận 8,2,2,None,None,Tây Nam,25.0,False,B1-25-05-city gate tower
10,Bán,2500000000,78.79,quận 8,2,2,None,None,Đông Bắc,15.0,False,B1-15-10-city gate tower
11,Thuê,6000000,92.23,quận 8,3,2,Ko,None,Đông Nam,17.0,False,B1-17-12A-city gate tower
12,Bán,2250000000,73.29,quận 8,2,2,Full,None,Đông Bắc,16.0,False,B1-16-12-city gate tower
13,Thuê,10000000,73.29,quận 8,2,2,Full,None,Đông Bắc,11.0,False,B1-11-07-city gate tower
14,Bán,2200000000,73.29,quận 8,2,2,Có,None,Đông Bắc,27.0,False,A2-27-03-city gate tower
15,Thuê,6500000,73.29,quận 8,2,2,Ko,None,Đông Bắc,19.0,False,A2-19-04-city gate tower
16,Bán,2700000000,92.23,quận 8,3,2,Ko,None,Tây Bắc,24.0,False,A2-24-01-city gate tower
17,Thuê,9000000,78.79,quận 8,2,2,Ko,None,Tây Nam,20.0,False,A2-20-09-city gate tower
18,Thuê,10000000,71.91,quận 8,2,2,None,None,Đông Bắc,22.0,False,A2-22-02-city gate tower
19,Thuê,7500000,73.29,quận 8,2,2,None,None,Tây Nam,24.0,False,A2-24-10-city gate tower
20,Thuê,9000000,92.23,quận 8,3,2,None,None,Tây Bắc,8.0,False,A2-08-01-city gate tower
21,Thuê,10000000,92.23,quận 8,3,2,Full,None,Tây Bắc,10.0,False,A2-10-11-city gate tower
22,Thuê,7000000,78.79,quận 8,2,2,None,None,Tây Nam,26.0,False,A1-26-07-city gate tower
23,Thuê,10000000,92.23,quận 8,3,2,None,None,Tây Bắc,27.0,False,A1-27-09-city gate tower
24,Thuê,11000000,92.23,quận 8,3,2,None,None,Tây Bắc,18.0,False,A1-18-01-city gate tower
25,Bán,2500000000,73.29,quận 8,2,2,None,None,Tây Nam,15.0,False,A1-15-08-city gate tower
26,Thuê,10000000,73.29,quận 8,2,2,Full,None,Đông Bắc,23.0,False,A1-22A-03-city gate tower
27,Thuê,7000000,73.29,quận 8,2,2,None,None,Tây Nam,5.0,False,A1-05-08-city gate tower
28,Thuê,10000000,73.29,quận 8,2,2,None,None,Tây Nam,9.0,False,A1-09-08-city gate tower
29,Thuê,7000000,73.29,quận 8,2,2,None,None,Tây Nam,11.0,False,A1-11-05-city gate tower
30,Bán,2595000000,74.88,quận 8,None,None,Có,HDMB,Bắc,0.0,False,D3A-07-diamond riverside
31,Bán,4000000000,86.22,quận 8,None,None,None,HDMB,Bắc,4.0,False,C3A-21-diamond riverside
32,Thuê,12000000,73.43,quận 8,None,None,Có,HDMB,Nam,0.0,False,D12A-10-diamond riverside
33,Bán,3000000000,86.22,quận 8,None,None,None,HDMB,Bắc,13.0,False,C12A-21-diamond riverside
34,Thuê,15000000,88.55,quận 8,None,None,None,HDMB,Nam,0.0,False,C12A-17-diamond riverside
35,Bán,3500000000,73.43,quận 8,None,None,None,HDMB,Nam,0.0,False,A12B-15-diamond riverside
36,Bán,2600000000,73.12,quận 8,None,None,None,HDMB,Bắc,28.0,False,D28-01-diamond riverside
37,Thuê,7500000,73.43,quận 8,None,None,Có,HDMB,Nam,28.0,False,C28-16-diamond riverside
38,Bán,2879000000,86.22,quận 8,None,None,None,HDMB,Bắc,28.0,False,C28-21-diamond riverside
39,Thuê,7000000,73.43,quận 8,None,None,None,HDMB,Nam,29.0,False,A29-10-diamond riverside
40,Bán,2350000000,73.43,quận 8,None,None,Ko,HDMB,Tây,29.0,False,B29-16-diamond riverside
41,Bán,2400000000,75.27,quận 8,None,None,None,HDMB,Bắc,13.0,False,A12A-01-diamond riverside
42,Thuê,10000000,73.43,quận 8,2,2,Có,HDMB,Bắc,29.0,False,D29-02-diamond riverside
43,Bán,2866000000,87.77,quận 8,None,None,None,HDMB,Nam,27.0,False,B27-18-diamond riverside
44,Bán,2650000000,75.27,quận 8,2,2,Full,HDMB,Nam,25.0,False,D25-16-diamond riverside
45,Thuê,12000000,88.55,quận 8,None,None,None,HDMB,Nam,26.0,False,C26-17-diamond riverside
46,Bán,4000000000,86.22,quận 8,3,2,Full,HDMB,Nam,24.0,False,B24-15-diamond riverside
47,Thuê,10000000,87.77,quận 8,3,2,Có,HDMB,Nam,24.0,False,B24-18-diamond riverside
48,Thuê,10000000,73.43,quận 8,None,None,Có,HDMB,Nam,22.0,False,D22-15-diamond riverside
49,Thuê,8500000,75.27,quận 8,None,None,None,HDMB,Bắc,24.0,False,A24-01-diamond riverside
50,Bán,2500000000,73.43,quận 8,None,None,None,HDMB,Tây,21.0,False,C21-18-diamond riverside
51,Bán,2550000000,73.43,quận 8,None,None,Có,HDMB,Tây,20.0,False,B20-16-diamond riverside
52,Thuê,11000000,73.43,quận 8,None,None,Full,HDMB,Nam,20.0,False,D20-12-diamond riverside
53,Bán,2800000000,87.77,quận 8,None,None,None,HDMB,Bắc,19.0,False,C19-05-diamond riverside
54,Bán,2350000000,73.43,quận 8,None,None,Ko,HDMB,Nam,17.0,False,B17-19-diamond riverside
55,Thuê,9000000,86.22,quận 8,3,2,Ko,HDMB,Nam,17.0,False,B17-12-diamond riverside
56,Bán,2550000000,75.27,quận 8,None,None,None,HDMB,Bắc,18.0,False,A18-01-diamond riverside
57,Thuê,8000000,75.27,quận 8,None,None,Ko,HDMB,Bắc,16.0,False,A16-01-diamond riverside
58,Thuê,8000000,73.43,quận 8,None,None,None,HDMB,Đông,16.0,False,C16-03-diamond riverside
59,Thuê,4000000,87.77,quận 8,None,None,None,HDMB,Nam,16.0,False,B16-18-diamond riverside
60,Bán,2930000000,86.22,quận 8,None,None,None,HDMB,Bắc,16.0,False,C16-21-diamond riverside
61,Bán,2700000000,75.27,quận 8,None,None,Có,HDMB,Bắc,12.0,False,A12-01-diamond riverside
62,Thuê,7000000,74.88,quận 8,None,None,None,HDMB,Bắc,12.0,False,B12-01-diamond riverside
63,Bán,2350000000,73.43,quận 8,None,None,None,HDMB,Nam,15.0,False,A15-11-diamond riverside
64,Bán,2300000000,73.43,quận 8,None,None,None,HDMB,Nam,10.0,False,C10-16-diamond riverside
65,Thuê,11000000,74.88,quận 8,None,None,Full,HDMB,Bắc,9.0,False,A09-08-diamond riverside
66,Bán,2400000000,73.43,quận 8,None,None,None,HDMB,Nam,9.0,False,D09-11-diamond riverside
67,Thuê,10000000,74.88,quận 8,2,2,Ko,HDMB,Bắc,10.0,False,B10-01-diamond riverside
68,Bán,2350000000,73.43,quận 8,None,None,Ko,HDMB,Bắc,10.0,False,B10-02-diamond riverside
69,Bán,3150000000,86.22,quận 8,None,None,None,HDMB,Bắc,7.0,False,C07-21-diamond riverside
70,Bán,2424000000,73.43,quận 8,2,2,Ko,HDMB,Bắc,8.0,False,A08-07-diamond riverside
71,Bán,2426000000,73.12,quận 8,None,None,Ko,HDMB,Bắc,8.0,False,D08-01-diamond riverside
72,Thuê,9000000,73.43,quận 8,None,None,Có,HDMB,Bắc,9.0,False,A09-02-diamond riverside
73,Bán,2425000000,73.43,quận 8,None,None,Ko,HDMB,Bắc,7.0,False,A07-02-diamond riverside
