,Nhu cầu,Tổng tiền,Diện tích,Địa chỉ,Phòng ngủ,Phòng vệ sinh,Nội thất,Pháp lý sở hữu,View,Tầng,Hot,Mã căn
0,Thuê,8000000,67.2,thủ đức,2,2,Full,HDMB,Đông Bắc,8.0,False,C1.08.06-4S Linh Đông
1,Bán,2620000000,74.0,None,2,2,Ko,None,Đông Bắc,0.0,False,OPBB0203033-Opal Boulevard
2,Thuê,10000000,75.0,None,2,2,Ko,None,Đông Bắc,None,False,OPBA02032006-Opal Boulevard
3,Thuê,8000000,73.0,None,2,2,Ko,None,Đông Bắc,None,False,OPBA02028005-Opal Boulevard
4,Thuê,10000000,73.0,None,2,2,Ko,None,Đông Bắc,None,False,OPBA02033005-Opal Boulevard
5,Thuê,8000000,73.0,None,2,2,Ko,None,Đông Bắc,None,False,OPBA02021005-Opal Boulevard
6,Thuê,12000000,99.0,None,3,2,Ko,None,Đông Bắc,None,False,OPBA02017003-Opal Boulevard
7,Thuê,10000000,73.43,quận 8,2,2,Có,HDMB,Tây,20.0,False,B20-16-Diamond Riverside
8,Thuê,9000000,86.22,quận 8,None,None,None,HDMB,Bắc,13.0,False,C12A-21-Diamond Riverside
9,Bán,10000000000,None,None,Shophouse,Shophouse,Full,None,None,None,False,D-S10-Diamond Riverside
10,Thuê,50000000,0.0,quận 8,Shophouse,Shophouse,None,HDMB,Bắc,1.0,False,B-S8-Diamond Riverside
11,Thuê,10000000,73.29,quận 8,2,2,None,None,Tây Nam,25.0,False,B1-25-05-City Gate Tower
12,Bán,2500000000,78.79,quận 8,2,2,None,None,Đông Bắc,15.0,False,B1-15-10-City Gate Tower
13,Thuê,6000000,92.23,quận 8,3,2,Ko,None,Đông Nam,17.0,False,B1-17-12A-City Gate Tower
14,Bán,2250000000,73.29,quận 8,2,2,Full,None,Đông Bắc,16.0,False,B1-16-12-City Gate Tower
15,Thuê,10000000,73.29,quận 8,2,2,Full,None,Đông Bắc,11.0,False,B1-11-07-City Gate Tower
16,Bán,2200000000,73.29,quận 8,2,2,Có,None,Đông Bắc,27.0,False,A2-27-03-City Gate Tower
17,Thuê,6500000,73.29,quận 8,2,2,Ko,None,Đông Bắc,19.0,False,A2-19-04-City Gate Tower
18,Bán,2700000000,92.23,quận 8,3,2,Ko,None,Tây Bắc,24.0,False,A2-24-01-City Gate Tower
19,Thuê,9000000,78.79,quận 8,2,2,Ko,None,Tây Nam,20.0,False,A2-20-09-City Gate Tower
20,Thuê,10000000,71.91,quận 8,2,2,None,None,Đông Bắc,22.0,False,A2-22-02-City Gate Tower
21,Thuê,7500000,73.29,quận 8,2,2,None,None,Tây Nam,24.0,False,A2-24-10-City Gate Tower
22,Thuê,9000000,92.23,quận 8,3,2,None,None,Tây Bắc,8.0,False,A2-08-01-City Gate Tower
23,Thuê,10000000,92.23,quận 8,3,2,Full,None,Tây Bắc,10.0,False,A2-10-11-City Gate Tower
24,Thuê,7000000,78.79,quận 8,2,2,None,None,Tây Nam,26.0,False,A1-26-07-City Gate Tower
25,Thuê,10000000,92.23,quận 8,3,2,None,None,Tây Bắc,27.0,False,A1-27-09-City Gate Tower
26,Thuê,11000000,92.23,quận 8,3,2,None,None,Tây Bắc,18.0,False,A1-18-01-City Gate Tower
27,Bán,2500000000,73.29,quận 8,2,2,None,None,Tây Nam,15.0,False,A1-15-08-City Gate Tower
28,Thuê,10000000,73.29,quận 8,2,2,Full,None,Đông Bắc,23.0,False,A1-22A-03-City Gate Tower
29,Thuê,7000000,73.29,quận 8,2,2,None,None,Tây Nam,5.0,False,A1-05-08-City Gate Tower
30,Thuê,10000000,73.29,quận 8,2,2,None,None,Tây Nam,9.0,False,A1-09-08-City Gate Tower
31,Thuê,7000000,73.29,quận 8,2,2,None,None,Tây Nam,11.0,False,A1-11-05-City Gate Tower
32,Bán,2595000000,74.88,quận 8,None,None,Có,HDMB,Bắc,0.0,False,D3A-07-Diamond Riverside
33,Bán,4000000000,86.22,quận 8,None,None,None,HDMB,Bắc,4.0,False,C3A-21-Diamond Riverside
34,Thuê,12000000,73.43,quận 8,None,None,Có,HDMB,Nam,0.0,False,D12A-10-Diamond Riverside
35,Bán,3000000000,86.22,quận 8,None,None,None,HDMB,Bắc,13.0,False,C12A-21-Diamond Riverside
36,Thuê,15000000,88.55,quận 8,None,None,None,HDMB,Nam,0.0,False,C12A-17-Diamond Riverside
37,Bán,3500000000,73.43,quận 8,None,None,None,HDMB,Nam,0.0,False,A12B-15-Diamond Riverside
38,Bán,2600000000,73.12,quận 8,None,None,None,HDMB,Bắc,28.0,False,D28-01-Diamond Riverside
39,Thuê,7500000,73.43,quận 8,None,None,Có,HDMB,Nam,28.0,False,C28-16-Diamond Riverside
40,Bán,2879000000,86.22,quận 8,None,None,None,HDMB,Bắc,28.0,False,C28-21-Diamond Riverside
41,Thuê,7000000,73.43,quận 8,None,None,None,HDMB,Nam,29.0,False,A29-10-Diamond Riverside
42,Bán,2350000000,73.43,quận 8,None,None,Ko,HDMB,Tây,29.0,False,B29-16-Diamond Riverside
43,Bán,2400000000,75.27,quận 8,None,None,None,HDMB,Bắc,13.0,False,A12A-01-Diamond Riverside
44,Thuê,10000000,73.43,quận 8,2,2,Có,HDMB,Bắc,29.0,False,D29-02-Diamond Riverside
45,Bán,2866000000,87.77,quận 8,None,None,None,HDMB,Nam,27.0,False,B27-18-Diamond Riverside
46,Bán,2650000000,75.27,quận 8,2,2,Full,HDMB,Nam,25.0,False,D25-16-Diamond Riverside
47,Thuê,12000000,88.55,quận 8,None,None,None,HDMB,Nam,26.0,False,C26-17-Diamond Riverside
48,Bán,4000000000,86.22,quận 8,3,2,Full,HDMB,Nam,24.0,False,B24-15-Diamond Riverside
49,Thuê,10000000,87.77,quận 8,3,2,Có,HDMB,Nam,24.0,False,B24-18-Diamond Riverside
50,Thuê,10000000,73.43,quận 8,None,None,Có,HDMB,Nam,22.0,False,D22-15-Diamond Riverside
51,Thuê,8500000,75.27,quận 8,None,None,None,HDMB,Bắc,24.0,False,A24-01-Diamond Riverside
52,Bán,2500000000,73.43,quận 8,None,None,None,HDMB,Tây,21.0,False,C21-18-Diamond Riverside
53,Bán,2550000000,73.43,quận 8,None,None,Có,HDMB,Tây,20.0,False,B20-16-Diamond Riverside
