,Nhu cầu,Tổng tiền,Diện tích,Địa chỉ,Phòng ngủ,Phòng vệ sinh,Nội thất,Pháp lý sở hữu,View,Tầng,Hot,Mã căn
0,Bán,10000000000,None,quận 8,Shophouse,Shophouse,Full,None,None,None,False,D-S10-diamond riverside
1,Thuê,50000000,0.0,quận 8,Shophouse,Shophouse,None,HDMB,Bắc,1.0,False,B-S8-diamond riverside
2,Bán,7500000000,None,quận 8,Shophouse,Shophouse,None,HDMB,Bắc,1.0,False,A-S02-diamond riverside
3,Thuê,20000000,0.0,quận 8,Shophouse,Shophouse,None,HDMB,Bắc,1.0,False,A-S07-diamond riverside
4,Thuê,30000000,0.0,quận 8,Shophouse,Shophouse,None,HDMB,Nam,1.0,False,A-S15-diamond riverside
5,Thuê,45000000,0.0,quận 8,Shophouse,Shophouse,None,HDMB,Bắc,1.0,False,B-S1-diamond riverside
6,Bán,12000000000,0.0,quận 8,Shophouse,Shophouse,None,HDMB,Bắc,1.0,False,B-S8-diamond riverside
7,Thuê,40000000,0.0,quận 8,Shophouse,Shophouse,None,HDMB,Tây,1.0,False,B-S16-diamond riverside
8,Thuê,9000000,52.45,thủ đức,Officetel,Officetel,Ko,None,Đông Bắc,3.0,False,A03.15-lavita charm
9,Thuê,7000000,45.36,thủ đức,Officetel,Officetel,Ko,None,Đông Bắc,5.0,False,A05.01-lavita charm
10,Thuê,20000000,84.05,bình dương,Shophouse,Shophouse,None,HDMB,Đông Bắc,1.0,False,OPBB01001007-opal boulevard
11,Thuê,40000000,115.54,bình dương,Shophouse,Shophouse,None,HDMB,Đông Nam,1.0,False,OPBB01001005-opal boulevard
12,Thuê,11000000,90.53,bình dương,Shophouse,Shophouse,None,HDMB,Tây Nam,1.0,False,OPBA01001005-opal boulevard
13,Thuê,7000000,51.3,thủ đức,Officetel,Officetel,Ko,None,Tây Nam,5.0,False,A05.22-lavita charm
14,Bán,1911000000,51.3,thủ đức,Officetel,Officetel,Ko,None,Tây Nam,5.0,False,A05.23-lavita charm
15,Bán,1922000000,51.3,thủ đức,Officetel,Officetel,None,None,Tây Nam,5.0,False,A05.24-lavita charm
16,Bán,2000000000,51.3,thủ đức,Officetel,Officetel,None,None,Tây Nam,5.0,False,A05.17-lavita charm
17,Bán,1198000000,51.3,thủ đức,Officetel,Officetel,None,None,Tây Nam,5.0,False,A05.19-lavita charm
18,Bán,1931000000,52.45,thủ đức,Officetel,Officetel,None,None,Đông Bắc,5.0,False,A05.28-lavita charm
19,Thuê,6500000,51.3,thủ đức,Officetel,Officetel,None,None,Đông Bắc,5.0,False,C05.04-lavita charm
20,Thuê,7000000,51.3,thủ đức,Officetel,Officetel,None,None,Đông Bắc,5.0,False,C05.04-lavita charm
21,Thuê,30000000,80.23,thủ đức,Shophouse,Shophouse,Ko,None,Đông Bắc,0.0,False,TM14.TM-lavita charm
22,Thuê,22000000,81.36,thủ đức,Shophouse,Shophouse,None,None,Tây Nam,0.0,False,TM25.TM-lavita charm
23,Bán,7935000000,68.4,thủ đức,Shophouse,Shophouse,None,None,Đông Bắc,0.0,False,TM17.TM-lavita charm
24,Thuê,25000000,75.99,thủ đức,Shophouse,Shophouse,None,None,Đông Nam,0.0,False,TM21.TM-lavita charm
25,Thuê,7000000,45.36,thủ đức,Officetel,Officetel,None,None,Đông Bắc,3.0,False,A03.11-lavita charm
26,Bán,2000000000,51.3,thủ đức,Officetel,Officetel,None,None,Đông Bắc,3.0,False,A03.29-lavita charm
27,Thuê,10000000,51.3,thủ đức,Officetel,Officetel,Ko,None,Đông Bắc,3.0,False,A03.04-lavita charm
28,Bán,2050000000,52.45,thủ đức,Officetel,Officetel,Ko,None,Đông Bắc,3.0,False,A03.15-lavita charm
29,Bán,1844000000,45.36,thủ đức,Officetel,Officetel,None,None,Đông Bắc,4.0,False,A04.10-lavita charm
30,Bán,2050000000,50.35,thủ đức,Officetel,Officetel,None,None,Tây Nam,3.0,False,A03.21-lavita charm
31,Bán,2100000000,51.3,thủ đức,Officetel,Officetel,None,None,Tây Nam,3.0,False,A03.24-lavita charm
32,Bán,1870000000,50.35,thủ đức,Officetel,Officetel,None,None,Đông Bắc,4.0,False,A04.12-lavita charm
33,Bán,4200000000,66.33,quận 9,Shophouse,Shophouse,None,HDMB,Đông Bắc,1.0,False,B3-01-08-gia hòa art
34,Bán,2500000000,71.71,thủ đức,Shophouse,Shophouse,Ko,HDMB,Tây Nam,0.0,True,A.12-4s linh đông
35,Bán,2500000000,71.71,thủ đức,Shophouse,Shophouse,Ko,HDMB,Tây Nam,0.0,True,A.07-4s linh đông
36,Thuê,12000000,140.0,thủ đức,Penthouse,Penthouse,Ko,None,None,None,False,A1-P8 / 20.08-đạt gia
37,Thuê,14000000,71.17,quận 9,Shophouse,Shophouse,None,HDMB,Tây Bắc,1.0,False,A-01-12-saigon gateway
38,Bán,4300000000,88.0,bình dương,Shophouse,Shophouse,Ko,None,None,None,False,SB.10-marina tower
39,Bán,1588000000,33.0,quận 9,Studio,Studio,None,HDMB,Tây Bắc,19.0,False,S5.021911-vinhome grand park
40,Bán,1466000000,33.6,quận 9,Studio,Studio,None,HDMB,Tây Bắc,19.0,False,S5.021911-vinhome grand park
41,Bán,16500000000,None,None,Shophouse,Shophouse,None,None,None,None,False,S3.0101S02-nan
42,Thuê,46000000,None,quận 9,Shophouse,Shophouse,None,None,None,None,False,S3.0101S02-vinhome
43,Thuê,7000000,30.9,quận 9,Studio,Studio,None,HDMB,Đông Nam,7.0,False,S1.030708-vinhome grand park
44,Bán,1451000000,30.9,quận 9,Studio,Studio,None,HDMB,Đông Nam,22.0,False,S1.032208-vinhome grand park
45,Thuê,25000000,240.0,thủ đức,Shophouse,Shophouse,Ko,None,Đông Nam,0.0,False,SH08-saigon avenue
46,Bán,4400000000,57.0,quận 9,Duplex,Duplex,Ko,None,Đông Nam,None,False,D2-17-04-gia hòa 
47,Bán,4516000000,110.0,bình dương,Shophouse,Shophouse,Ko,None,None,0.0,False,SB.04-marina tower
48,Bán,3100000000,71.7,bình dương,Shophouse,Shophouse,None,None,None,0.0,False,SB.19-marina tower
49,Thuê,12000000,110.8,bình dương,Shophouse,Shophouse,Ko,None,None,0.0,False,SB.04-marina tower
50,Bán,3905000000,103.7,bình dương,Shophouse,Shophouse,None,None,None,0.0,False,SB.11-marina tower
51,Bán,5918000000,125.8,bình dương,Shophouse,Shophouse,None,None,None,0.0,False,SB.09-marina tower
52,Bán,5000000000,88.2,bình dương,Shophouse,Shophouse,Ko,None,None,0.0,False,SB.10-marina tower
53,Bán,3100000000,120.75,thủ đức,Shophouse,Shophouse,None,None,None,0.0,False,A3-TM27-T / 0.06-đạt gia residence
54,Bán,4510000000,154.48,thủ đức,Penthouse,Penthouse,Full,None,None,20.0,False,A1-P2 / 20.02-đạt gia residence
55,Bán,3800000000,157.94,thủ đức,Penthouse,Penthouse,Có,HDMB,Đông Bắc,20.0,False,A3-P2 / 20.01-đạt gia residence
